[01:46:24] teleboto: [tg-216105391] https://dn-fishroom.qbox.me/sticker/13c4.png (sticker)
[05:55:33] -- erhandsome JOIN #gzlug
[07:44:16] -- pingbo JOIN #gzlug
[09:09:52] -- huntxu JOIN #gzlug
[09:26:43] -- rivershang JOIN #gzlug
[09:34:36] -- SteamedFish JOIN #gzlug
[10:46:53] -- SteamedFish JOIN #gzlug
[12:55:20] -- rivershang JOIN #gzlug
[13:00:48] -- LastAvengers JOIN #gzlug
[14:22:59] -- rivershang JOIN #gzlug
[14:24:47] -- LastAvengers JOIN #gzlug
[14:31:22] -- SteamedFish JOIN #gzlug
[15:14:27] -- rivershang JOIN #gzlug
[15:49:59] -- rivershang JOIN #gzlug
[17:21:21] -- SteamedFish JOIN #gzlug
[17:31:17] -- rivershang PART #gzlug
[17:48:27] -- SteamedFish JOIN #gzlug
[18:08:31] -- SteamedFish JOIN #gzlug
[19:01:05] -- SteamedFish JOIN #gzlug
[19:24:10] -- SteamedFish JOIN #gzlug
[19:32:04] -- SteamedFish JOIN #gzlug
[19:52:07] -- teleboto JOIN #gzlug
[20:04:21] -- LastAvengers JOIN #gzlug
[20:20:34] -- SteamedFish JOIN #gzlug
[21:01:33] -- Shirasaka-Hazumi JOIN #gzlug
[21:14:54] -- LastAvengers JOIN #gzlug
[21:17:39] -- SteamedFish JOIN #gzlug
[22:08:05] -- teleboto JOIN #gzlug
[22:10:15] -- teleboto JOIN #gzlug
